mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death,
Charles Paul Narcisse Moreau,"['mathematician', 'chess player']",['France'],NULL,6-Jul-16,NULL,NULL,['Lyon'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,14,September,1837,FALSE,6,July,1916,
Clive Selwyn Davis,[''],NULL,NULL,10/29/2009,NULL,['University of Queensland'],NULL,NULL,['University of Queensland'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,15,April,1916,FALSE,29,October,2009,
Nicolaus I Bernoulli,"['mathematician', 'university teacher']",['Switzerland'],Basel,29 November 1759,NULL,['University of Padua'],['Basel'],"['Royal Society', 'Prussian Academy of Sciences']",['University of Padua'],NULL,['German'],NULL,NULL,NULL,['Rector of the University of Basel'],['probability theory'],['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,21,October,1687,FALSE,29,November,1759,
Alexander Kirillov Jr.,['mathematician'],"['Soviet Union', 'United States of America']",Soviet Union,NULL,"['Moscow State University', 'Yale University']",['New York University'],NULL,NULL,['New York University'],['Igor Frenkel'],NULL,NULL,['Alexei Borodin'],NULL,NULL,['mathematics'],NULL,NULL,['human'],['male'],TRUE,NULL,NULL,1900,FALSE,NULL,NULL,NULL,
William Smyth (professor),"['mathematician', 'writer']",['United States of America'],NULL,3 April 1868,['Bowdoin College'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1797,FALSE,3,April,1868,
C. V. Mourey,['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1791,FALSE,NULL,NULL,NULL,
Denis Sargan,"['economist', 'statistician']",['United Kingdom'],Doncaster,13-Apr-96,['University of Cambridge'],['London School of Economics'],['Theydon Bois'],"['American Academy of Arts and Sciences', 'British Academy']",['London School of Economics'],NULL,NULL,NULL,NULL,NULL,NULL,['economics'],NULL,NULL,['human'],['male'],FALSE,23,August,1924,FALSE,13,April,1996,
Vadim Yefremovich,['mathematician'],['Soviet Union'],Zhmerynka,1989,NULL,NULL,NULL,NULL,NULL,['Pavel Aleksandrov'],NULL,['Doctor of Sciences in Physics and Mathematics'],NULL,NULL,NULL,['mathematical analysis'],NULL,['3±0'],['human'],['male'],FALSE,NULL,NULL,1903,FALSE,NULL,NULL,1989,
Ludwig Stickelberger,['mathematician'],['Switzerland'],Buch,11-Apr-36,NULL,NULL,['Basel'],"['Heidelberg Academy for Sciences and Humanities', '1909', '1924', 'extraordinary member', 'German Academy of Sciences Leopoldina', 'Heidelberg Academy for Sciences and Humanities', '1924', 'foreign member']",NULL,['Karl Weierstraß'],NULL,NULL,NULL,NULL,NULL,['number theory'],NULL,NULL,['human'],['male'],FALSE,18,May,1850,FALSE,11,April,1936,
Thomas Henderson (astronomer),"['astronomer', 'mathematician']",['United Kingdom'],Dundee,23 November 1844,NULL,['City Observatory'],['Edinburgh'],"['Royal Society', 'Royal Society of Edinburgh']",['City Observatory'],NULL,NULL,NULL,NULL,NULL,['Astronomer Royal for Scotland'],NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,28,December,1798,FALSE,23,November,1844,
Rafael E. Núñez,['mathematician'],['United States of America'],NULL,NULL,NULL,"['University of California, San Diego']",NULL,NULL,"['University of California, San Diego']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1960,FALSE,NULL,NULL,NULL,
H. Eugene Stanley,"['physicist', 'university teacher']",['United States of America'],Oklahoma City,NULL,"['Harvard University', 'Wesleyan University', 'University of California, Berkeley']","['Harvard University', 'Boston University', 'Leiden University']",NULL,['National Academy of Sciences'],"['Harvard University', 'Boston University', 'Leiden University']",NULL,['English'],NULL,NULL,NULL,NULL,NULL,"['John Simon Guggenheim Memorial Foundation Fellowship', 'Boltzmann Medal', '2004', 'Lilienfeld Prize', '2008']",NULL,['human'],['male'],FALSE,28,March,1941,FALSE,NULL,NULL,NULL,
Zhen Luan,"['mathematician', 'astronomer']",NULL,NULL,566,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,535,FALSE,NULL,NULL,566,
Andrzej Ehrenfeucht,"['mathematician', 'computer scientist']","['Poland', 'United States of America']",Vilnius,NULL,['University of Warsaw'],NULL,NULL,['Academia Europaea'],NULL,['Andrzej Mostowski'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['2±0'],['human'],['male'],FALSE,8,August,1932,FALSE,NULL,NULL,NULL,
Jayant Narlikar,"['physicist', 'astronomer', 'astrophysicist', 'university teacher', 'science fiction writer']",['India'],Kolhapur,NULL,"['Fitzwilliam College', 'Banaras Hindu University']",NULL,NULL,NULL,NULL,['Fred Hoyle'],['Marathi'],NULL,NULL,NULL,NULL,NULL,"['Prix Jules Janssen', '2004', 'Maharashtra Bhushan Award', 'Kalinga Prize', '1996', 'H K Firodia awards', '2006', 'Shanti Swarup Bhatnagar Prize for Science and Technology', '1978', 'Padma Vibhushan in science & engineering', 'Padma Bhushan in science & engineering']",NULL,['human'],['male'],FALSE,19,July,1938,FALSE,NULL,NULL,NULL,
Maria Adelaide Sneider,['mathematician'],NULL,Asmara,5/1/1989,['University of Trieste'],NULL,NULL,NULL,NULL,['Gaetano Fichera'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,6,December,1937,FALSE,1,May,1989,
Michael Rapoport,"['mathematician', 'university teacher']",['Austria'],Berlin,NULL,['University of Paris'],"['University of Bonn', 'Heidelberg University', 'University of Cologne', 'University of Wuppertal']",NULL,"['German Academy of Sciences Leopoldina', 'Academia Europaea']","['University of Bonn', 'Heidelberg University', 'University of Cologne', 'University of Wuppertal']",['Pierre Deligne'],NULL,['doctoral degree'],NULL,NULL,NULL,NULL,"['Heinz Hopf Prize', '2011', 'Gay-Lussac-Humboldt-Prize', '1999', 'Gottfried Wilhelm Leibniz Prize', '1992', 'Q1729765', '2013']",NULL,['human'],['male'],FALSE,2,October,1948,FALSE,NULL,NULL,NULL,
Wu-Chung Hsiang,"['mathematician', 'university teacher']",['United States of America'],Zhejiang,NULL,NULL,"['University of California, Berkeley']",NULL,"['American Academy of Arts and Sciences', 'Academia Sinica']","['University of California, Berkeley']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,['John Simon Guggenheim Memorial Foundation Fellowship'],NULL,['human'],['male'],FALSE,12,June,1935,FALSE,NULL,NULL,NULL,
George Green (mathematician),"['mathematician', 'physicist']",['United Kingdom'],Nottingham,31 May 1841,['University of Cambridge'],NULL,['Nottingham'],NULL,NULL,NULL,['English'],NULL,NULL,NULL,NULL,['mathematical analysis'],NULL,NULL,['human'],['male'],FALSE,14,July,1793,FALSE,31,May,1841,
Alberto Bressan,['mathematician'],['Italy'],Venice,NULL,NULL,['Pennsylvania State University'],NULL,['American Mathematical Society'],['Pennsylvania State University'],NULL,NULL,['doctoral degree'],NULL,NULL,NULL,NULL,NULL,['3±0'],['human'],['male'],FALSE,15,June,1956,FALSE,NULL,NULL,NULL,
Ian Castles,['statistician'],['Australia'],Kyneton,2-Aug-10,NULL,NULL,NULL,NULL,NULL,NULL,['English'],NULL,NULL,NULL,NULL,NULL,"['Officer of the Order of the British Empire', 'Officer of the Order of Australia']",NULL,['human'],['male'],FALSE,20,February,1935,FALSE,2,August,2010,
Derrick Henry Lehmer,['mathematician'],['United States of America'],Berkeley,22-May-91,"['Brown University', 'University of Chicago', 'University of California, Berkeley']","['University of California, Berkeley']",['Berkeley'],NULL,"['University of California, Berkeley']",['Jacob Tamarkin'],NULL,NULL,NULL,NULL,NULL,['number theory'],"['John Simon Guggenheim Memorial Foundation Fellowship', 'Josiah Willard Gibbs Lectureship', '1965']",['2±0'],['human'],['male'],FALSE,23,February,1905,FALSE,22,May,1991,
Federico Cafiero,['mathematician'],['Italy'],Riposto,5/7/1980,NULL,NULL,['Naples'],NULL,NULL,['Renato Caccioppoli'],NULL,NULL,NULL,NULL,NULL,['mathematical analysis'],NULL,NULL,['human'],['male'],FALSE,24,May,1914,FALSE,7,May,1980,
Joseph Bayma,['mathematician'],NULL,Ciriè,7 February 1892,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1816,FALSE,7,February,1892,
Bruce Lee Rothschild,"['mathematician', 'university teacher']",['United States of America'],Los Angeles,NULL,['Yale University'],"['University of California, Los Angeles']",NULL,['American Mathematical Society'],"['University of California, Los Angeles']",NULL,NULL,NULL,NULL,NULL,NULL,['combinatorics'],NULL,['1±0'],['human'],['male'],FALSE,26,August,1941,FALSE,NULL,NULL,NULL,
Ralph Abraham (mathematician),"['mathematician', 'university teacher']",['United States of America'],Burlington,NULL,['University of Michigan'],"['University of California, Berkeley', 'Columbia University']",NULL,NULL,"['University of California, Berkeley', 'Columbia University']",NULL,['English'],NULL,NULL,NULL,NULL,NULL,['Fulbright Scholarship'],NULL,['human'],['male'],FALSE,4,July,1936,FALSE,NULL,NULL,NULL,
Michel Mandjes,"['mathematician', 'university teacher']",['Kingdom of the Netherlands'],Zaandam,NULL,NULL,['University of Amsterdam'],NULL,NULL,['University of Amsterdam'],['Henk Tijms'],NULL,NULL,NULL,NULL,NULL,['queueing theory'],NULL,NULL,['human'],['male'],FALSE,14,February,1970,FALSE,NULL,NULL,NULL,
Lewis Evans (mathematician),['mathematician'],NULL,Bassaleg,1827,['Merton College'],NULL,NULL,['Royal Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,NULL,NULL,1755,FALSE,NULL,NULL,1827,
Emilio Bajada,['mathematician'],['Italy'],Tunis,5/14/1984,['Scuola Normale Superiore'],NULL,['Modena'],NULL,NULL,['Leonida Tonelli'],NULL,NULL,NULL,NULL,NULL,['mathematical analysis'],NULL,NULL,['human'],['male'],FALSE,12,January,1914,FALSE,14,May,1984,
Dagmar R. Henney,['mathematician'],['United States of America'],Berlin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,6,May,1931,FALSE,NULL,NULL,NULL,
Paul Gustav Heinrich Bachmann,"['mathematician', 'historian of mathematics', 'university teacher']",['Germany'],Berlin,31-Mar-20,NULL,['University of Münster'],['Weimar'],NULL,['University of Münster'],NULL,['German'],NULL,NULL,NULL,NULL,"['group theory', 'number theory']",NULL,NULL,['human'],['male'],FALSE,22,June,1837,FALSE,31,March,1920,
Zeno of Elea,['philosopher'],NULL,Velia,425 BCE,NULL,NULL,['Velia'],NULL,NULL,NULL,['Ancient Greek'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,-490,FALSE,NULL,NULL,-425,
Stephen Schanuel,"['mathematician', 'university teacher']",['United States of America'],St. Louis,21-Jul-14,['Columbia University'],"['University at Buffalo, The State University of New York']",NULL,NULL,"['University at Buffalo, The State University of New York']",['Serge Lang'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,14,July,1933,FALSE,21,July,2014,
Henri Brocard,"['mathematician', 'speleologist', 'meteorologist']",['France'],Vignot,16-Jan-22,"['Lycée Thiers', 'École Polytechnique']",NULL,['Bar-le-Duc'],NULL,NULL,NULL,['French'],NULL,NULL,NULL,NULL,['geometry'],['Officer of the Legion of Honour'],NULL,['human'],['male'],FALSE,12,May,1845,FALSE,16,January,1922,
Karl-Rudolf Koch,"['mathematician', 'university teacher']",['Germany'],Hilchenbach,NULL,['University of Bonn'],['University of Bonn'],NULL,NULL,['University of Bonn'],NULL,['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,30,July,1935,FALSE,NULL,NULL,NULL,
Goro Shimura,"['mathematician', 'university teacher', 'professor']","['Japan', 'United States of America']",Hamamatsu,NULL,['University of Tokyo'],"['Princeton University', 'Osaka University']",NULL,NULL,"['Princeton University', 'Osaka University']",NULL,['Japanese'],NULL,"['Bill Casselman', 'Melvin Hochster', 'Robert Rumely', 'Alice Silverberg']",NULL,NULL,['number theory'],"['Cole Prize in Number Theory', '1976', 'Asahi Prize', '1991', 'Fujihara Award', '1995', 'Leroy P. Steele Prize', '1996']",['2±0'],['human'],['male'],FALSE,23,February,1930,FALSE,NULL,NULL,NULL,
Nizam al-Din Nishapuri,"['philosopher', 'astronomer', 'astrologer']",['Iran'],Qom,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Alfred Horn,"['mathematician', 'university teacher']",['United States of America'],Manhattan,16-Apr-01,"['City University of New York', 'New York University', 'University of California, Berkeley']","['University of California, Los Angeles']",['Pacific Palisades'],NULL,"['University of California, Los Angeles']",NULL,NULL,NULL,NULL,NULL,NULL,['lattice'],NULL,['2±0'],['human'],['male'],FALSE,17,February,1918,FALSE,16,April,2001,
Gury Marchuk,"['mathematician', 'university teacher']","['Soviet Union', 'Russia']",Orenburg Oblast,24-Mar-13,"['Mathematics and Mechanics Faculty, St. Petersburg State University']",['Q4201457'],['Moscow'],"['Russian Academy of Sciences', 'Academy of Sciences of the USSR', 'Central Committee of the Communist Party of the Soviet Union', 'German Academy of Sciences at Berlin', 'French Academy of Sciences', 'Bulgarian Academy of Sciences', 'Indian National Science Academy']",['Q4201457'],NULL,['Russian'],['Doctor of Sciences in Physics and Mathematics'],NULL,NULL,['member of the Supreme Soviet of the Soviet Union'],"['geophysics', 'applied mathematics', 'mathematical model', 'computational mathematics']","['honorary degree', 'USSR State Prize', 'Order of Lenin', 'Medal ""For the Victory over Germany in the Great Patriotic War 1941–1945""', 'Hero of Socialist Labour', 'Order For Services to the Fatherland II\xa0class', 'Order ""For Merit to the Fatherland"" IV\xa0class', 'Lomonosov Gold Medal',",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Uriel Feige,"['mathematician', 'cryptographer', 'computer scientist', 'university teacher']",['Israel'],NULL,NULL,"['Technion – Israel Institute of Technology', '1977', '1980', 'Bachelor of Science', 'Weizmann Institute of Science', '1985', '1987', 'Master of Science', 'Weizmann Institute of Science', '1987', '1990', 'Doctor of Philosophy']",NULL,NULL,NULL,NULL,['Adi Shamir'],NULL,NULL,NULL,NULL,NULL,['informatics'],"['Gödel Prize', '2001']",['2±0'],['human'],['male'],FALSE,NULL,NULL,1959,FALSE,NULL,NULL,NULL,
Nataša Šešum,['mathematician'],NULL,NULL,NULL,['Massachusetts Institute of Technology'],['Rutgers University'],NULL,['American Mathematical Society'],['Rutgers University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Giovanni Francesco Sagredo,['mathematician'],NULL,Venice,5 March 1620,NULL,NULL,['Venice'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1571,FALSE,5,March,1620,
Arthur Byron Coble,['mathematician'],['United States of America'],Williamstown,8-Dec-66,['Johns Hopkins University'],"['Johns Hopkins University', 'University of Illinois at Urbana–Champaign', 'University of Chicago']",['Harrisburg'],NULL,"['Johns Hopkins University', 'University of Illinois at Urbana–Champaign', 'University of Chicago']",['Frank Morley'],NULL,NULL,NULL,NULL,NULL,['group theory'],NULL,NULL,['human'],['male'],FALSE,3,November,1878,FALSE,8,December,1966,
Isaac Newton,"['mathematician', 'Dutch Wikipedia', 'physicist', 'Russian Wikipedia', 'http://www.nndb.com/cemetery/815/000208191/', 'philosopher', 'natural philosophy', 'http://www.infoplease.com/biography/science-mathematicians.html', 'http://www.tandfonline.com/doi/full/10.1080/10926480903028094', 'astronomer', 'http://www.worldatlas.com/webimage/countrys/europe/england/ukefamous3.htm', 'theologian', 'Christian theology', 'inventor', 'alchemist', 'politician', 'polymath', 'university teacher', 'non-fiction writer', 'German Wikipedia', 'theoretical physicist']","['Kingdom of England', 'http://www.humanistictexts.org/newton.htm', 'Kingdom of Great Britain', 'http://db.stevealbum.com/php/chap_auc.php?site=2&lang=1&sale=4&chapter=17&page=3']","Woolsthorpe Manor, Kingdom of England, Lincolnshire, Woolsthorpe-by-Colsterworth, Kingdom of England, Lincolnshire, A Short History of Astronomy",31 March 1727,"[""The King's School, Grantham"", '1659', '1655', 'Trinity College', 'Bachelor of Arts'",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Olgierd Zienkiewicz,"['mathematician', 'engineer']",['United Kingdom'],England,2-Jan-09,['Imperial College London'],"['Northwestern University', 'University of Texas at Austin']",['Swansea'],"['Royal Society', 'Chinese Academy of Sciences', 'Polish Academy of Sciences']","['Northwestern University', 'University of Texas at Austin']",NULL,['English'],NULL,NULL,NULL,NULL,NULL,"['Fellow of the Royal Society', 'Commander of the Order of the British Empire', 'Timoshenko Medal', '1998', 'Royal Medal', 'Carl Friedrich Gauss Medal', '1987']",NULL,['human'],['male'],FALSE,18,May,1921,FALSE,2,January,2009,
Jean-Baptiste-Charles-Joseph Bélanger,"['mathematician', 'engineer']",['France'],Valenciennes,8 May 1874,['École Polytechnique'],NULL,['Neuilly-sur-Seine'],NULL,NULL,NULL,['French'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,4,April,1790,FALSE,8,May,1874,
Bob Moses (activist),[''],['United States of America'],Harlem,NULL,"['Harvard University', 'Hamilton College', 'Stuyvesant High School']",['Cornell University'],NULL,NULL,['Cornell University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['War Resisters League Peace Award', 'MacArthur Fellowship']",NULL,['human'],['male'],FALSE,23,January,1935,FALSE,NULL,NULL,NULL,
Witold Hurewicz,['mathematician'],"['Poland', 'United States of America']",Łódź,6-Sep-56,NULL,['University of Amsterdam'],['Uxmal'],['American Academy of Arts and Sciences'],['University of Amsterdam'],['Hans Hahn'],['English'],NULL,NULL,NULL,NULL,NULL,['John Simon Guggenheim Memorial Foundation Fellowship'],NULL,['human'],['male'],FALSE,29,June,1904,FALSE,6,September,1956,
David Kazhdan,['mathematician'],"['Soviet Union', 'United States of America', 'Israel']","Moscow, Russian Soviet Federative Socialist Republic, Soviet Union",NULL,['Moscow State University'],['Harvard University'],NULL,"['National Academy of Sciences', 'Israel Academy of Sciences and Humanities', 'American Academy of Arts and Sciences']",['Harvard University'],['Alexandre Kirillov'],NULL,NULL,['Dmitry Kaledin'],NULL,NULL,['mathematics'],"['MacArthur Fellowship', 'Israel Prize', '2012']",['3±0'],['human'],['male'],FALSE,20,June,1946,FALSE,NULL,NULL,NULL,
Vladimir Voevodsky,"['mathematician', 'topologist', 'university teacher']","['Soviet Union', 'United States of America']",Moscow,NULL,"['Harvard University', 'Moscow State University']",['Institute for Advanced Study'],NULL,NULL,['Institute for Advanced Study'],['David Kazhdan'],NULL,NULL,NULL,NULL,NULL,"['algebraic geometry', 'topology', 'Galois theory']","['Fields Medal', '2002']",['4±0'],['human'],['male'],FALSE,4,June,1966,FALSE,NULL,NULL,NULL,
